DATE,BAMLHY,ln_BAMLHY,lnr_BAMLHY
11/3/1997,8.96,2.192770227,-0.001115449
11/4/1997,8.92,2.188295947,-0.00447428
11/5/1997,8.89,2.18492705,-0.003368897
11/6/1997,8.87,2.182674796,-0.002252253
11/7/1997,8.88,2.183801557,0.001126761
11/10/1997,8.87,2.182674796,-0.001126761
11/11/1997,8.86,2.181546765,-0.001128032
11/12/1997,8.86,2.181546765,0
11/13/1997,8.88,2.183801557,0.002254792
11/14/1997,8.89,2.18492705,0.001125493
11/17/1997,8.88,2.183801557,-0.001125493
11/18/1997,8.87,2.182674796,-0.001126761
11/19/1997,8.86,2.181546765,-0.001128032
11/20/1997,8.87,2.182674796,0.001128032
11/21/1997,8.86,2.181546765,-0.001128032
11/24/1997,8.86,2.181546765,0
11/25/1997,8.86,2.181546765,0
11/26/1997,8.85,2.180417459,-0.001129306
11/27/1997,8.85,2.180417459,0
11/28/1997,8.85,2.180417459,0
11/30/1997,8.91,2.187174241,0.006756782
12/1/1997,8.91,2.187174241,0
12/2/1997,8.88,2.183801557,-0.003372684
12/3/1997,8.86,2.181546765,-0.002254792
12/4/1997,8.86,2.181546765,0
12/5/1997,8.87,2.182674796,0.001128032
12/8/1997,8.87,2.182674796,0
12/9/1997,8.87,2.182674796,0
12/10/1997,8.85,2.180417459,-0.002257337
12/11/1997,8.83,2.178155015,-0.002262444
12/12/1997,8.82,2.17702187,-0.001133145
12/15/1997,8.8,2.174751721,-0.002270149
12/16/1997,8.8,2.174751721,0
12/17/1997,8.82,2.17702187,0.002270149
12/18/1997,8.79,2.173614712,-0.003407158
12/19/1997,8.79,2.173614712,0
12/22/1997,8.79,2.173614712,0
12/23/1997,8.8,2.174751721,0.00113701
12/24/1997,8.81,2.17588744,0.001135718
12/26/1997,8.81,2.17588744,0
12/29/1997,8.82,2.17702187,0.00113443
12/30/1997,8.83,2.178155015,0.001133145
12/31/1997,8.85,2.180417459,0.002262444
1/1/1998,.,,
1/2/1998,8.81,2.17588744,
1/5/1998,8.74,2.16791019,-0.00797725
1/6/1998,8.72,2.165619238,-0.002290952
1/7/1998,8.74,2.16791019,0.002290952
1/8/1998,8.7,2.163323026,-0.004587164
1/9/1998,8.66,2.158714723,-0.004608303
1/12/1998,8.66,2.158714723,0
1/13/1998,8.67,2.159868791,0.001154068
1/14/1998,8.66,2.158714723,-0.001154068
1/15/1998,8.65,2.157559321,-0.001155402
1/16/1998,8.65,2.157559321,0
1/19/1998,8.65,2.157559321,0
1/20/1998,8.65,2.157559321,0
1/21/1998,8.62,2.154085085,-0.003474236
1/22/1998,8.62,2.154085085,0
1/23/1998,8.66,2.158714723,0.004629638
1/26/1998,8.64,2.156402583,-0.00231214
1/27/1998,8.67,2.159868791,0.003466208
1/28/1998,8.66,2.158714723,-0.001154068
1/29/1998,8.61,2.152924318,-0.005790404
1/30/1998,8.6,2.151762203,-0.001162115
1/31/1998,8.64,2.156402583,0.00464038
2/2/1998,8.62,2.154085085,-0.002317498
2/3/1998,8.62,2.154085085,0
2/4/1998,8.62,2.154085085,0
2/5/1998,8.63,2.155244505,0.00115942
2/6/1998,8.63,2.155244505,0
2/9/1998,8.64,2.156402583,0.001158078
2/10/1998,8.64,2.156402583,0
2/11/1998,8.61,2.152924318,-0.003478264
2/12/1998,8.6,2.151762203,-0.001162115
2/13/1998,8.59,2.150598736,-0.001163467
2/16/1998,8.58,2.149433913,-0.001164822
2/17/1998,8.56,2.14710019,-0.002333723
2/18/1998,8.56,2.14710019,0
2/19/1998,8.57,2.148267733,0.001167542
2/20/1998,8.58,2.149433913,0.001166181
2/23/1998,8.59,2.150598736,0.001164822
2/24/1998,8.64,2.156402583,0.005803847
2/25/1998,8.64,2.156402583,0
2/26/1998,8.64,2.156402583,0
2/27/1998,8.64,2.156402583,0
2/28/1998,8.65,2.157559321,0.001156738
3/2/1998,8.67,2.159868791,0.00230947
3/3/1998,8.71,2.164471791,0.004603
3/4/1998,8.72,2.165619238,0.001147447
3/5/1998,8.73,2.16676537,0.001146132
3/6/1998,8.72,2.165619238,-0.001146132
3/9/1998,8.71,2.164471791,-0.001147447
3/10/1998,8.71,2.164471791,0
3/11/1998,8.69,2.162172939,-0.002298852
3/12/1998,8.66,2.158714723,-0.003458217
3/13/1998,8.66,2.158714723,0
3/16/1998,8.61,2.152924318,-0.005790404
3/17/1998,8.61,2.152924318,0
3/18/1998,8.6,2.151762203,-0.001162115
3/19/1998,8.6,2.151762203,0
3/20/1998,8.58,2.149433913,-0.00232829
3/23/1998,8.57,2.148267733,-0.001166181
3/24/1998,8.56,2.14710019,-0.001167542
3/25/1998,8.58,2.149433913,0.002333723
3/26/1998,8.58,2.149433913,0
3/27/1998,8.57,2.148267733,-0.001166181
3/30/1998,8.59,2.150598736,0.002331003
3/31/1998,8.66,2.158714723,0.008115987
4/1/1998,8.63,2.155244505,-0.003470217
4/2/1998,8.62,2.154085085,-0.00115942
4/3/1998,8.58,2.149433913,-0.004651171
4/6/1998,8.58,2.149433913,0
4/7/1998,8.6,2.151762203,0.00232829
4/8/1998,8.61,2.152924318,0.001162115
4/9/1998,8.61,2.152924318,0
4/13/1998,8.64,2.156402583,0.003478264
4/14/1998,8.63,2.155244505,-0.001158078
4/15/1998,8.6,2.151762203,-0.003482302
4/16/1998,8.59,2.150598736,-0.001163467
4/17/1998,8.59,2.150598736,0
4/20/1998,8.6,2.151762203,0.001163467
4/21/1998,8.62,2.154085085,0.002322881
4/22/1998,8.62,2.154085085,0
4/23/1998,8.62,2.154085085,0
4/24/1998,8.61,2.152924318,-0.001160766
4/27/1998,8.73,2.16676537,0.013841051
4/28/1998,8.72,2.165619238,-0.001146132
4/29/1998,8.74,2.16791019,0.002290952
4/30/1998,8.82,2.17702187,0.00911168
5/1/1998,8.79,2.173614712,-0.003407158
5/4/1998,8.77,2.171336806,-0.002277905
5/5/1998,8.78,2.172476408,0.001139601
5/6/1998,8.77,2.171336806,-0.001139601
5/7/1998,8.78,2.172476408,0.001139601
5/8/1998,8.79,2.173614712,0.001138304
5/11/1998,8.83,2.178155015,0.004540303
5/12/1998,8.83,2.178155015,0
5/13/1998,8.82,2.17702187,-0.001133145
5/14/1998,8.84,2.179286877,0.002265007
5/15/1998,8.83,2.178155015,-0.001131862
5/18/1998,8.82,2.17702187,-0.001133145
5/19/1998,8.83,2.178155015,0.001133145
5/20/1998,8.82,2.17702187,-0.001133145
5/21/1998,8.83,2.178155015,0.001133145
5/22/1998,8.82,2.17702187,-0.001133145
5/25/1998,8.82,2.17702187,0
5/26/1998,8.8,2.174751721,-0.002270149
5/27/1998,8.8,2.174751721,0
5/28/1998,8.8,2.174751721,0
5/29/1998,8.79,2.173614712,-0.00113701
5/31/1998,8.94,2.190535589,0.016920877
6/1/1998,8.9,2.186051277,-0.004484312
6/2/1998,8.9,2.186051277,0
6/3/1998,8.9,2.186051277,0
6/4/1998,8.9,2.186051277,0
6/5/1998,8.9,2.186051277,0
6/8/1998,8.89,2.18492705,-0.001124227
6/9/1998,8.89,2.18492705,0
6/10/1998,8.88,2.183801557,-0.001125493
6/11/1998,8.86,2.181546765,-0.002254792
6/12/1998,8.86,2.181546765,0
6/15/1998,8.85,2.180417459,-0.001129306
6/16/1998,8.9,2.186051277,0.005633818
6/17/1998,8.95,2.191653532,0.005602256
6/18/1998,8.93,2.189416395,-0.002237137
6/19/1998,8.92,2.188295947,-0.001120448
6/22/1998,8.93,2.189416395,0.001120448
6/23/1998,8.94,2.190535589,0.001119194
6/24/1998,8.92,2.188295947,-0.002239643
6/25/1998,8.91,2.187174241,-0.001121705
6/26/1998,8.9,2.186051277,-0.001122965
6/29/1998,8.91,2.187174241,0.001122965
